run_id,num_stories,num_bays_x,num_bays_z,story_height,bay_width_x,bay_width_z,G_k,Q_k,W_k,total_height_m,delta_sway_mm,delta_sway_lim_mm,util_sway,sway_status,beam_M_u_kNm,col_P_u_kN,optimal_beam_sec,optimal_col_sec,beam_mass_kg_m,col_mass_kg_m,beam_util_pct,col_util_pct,total_steel_weight_kg
245,1,2,3,4.01,7.49,4.98,6.11,7.71,13.49,4.01,9.76,8.02,1.2164,Fail,131.86,267.05,UB 406x178x54,UC 203x203x46,54.3,46.1,72.78,93.58,7905.71
246,1,1,3,4.49,4.94,7.67,19.4,9.51,19.31,4.49,29.63,8.98,3.2998,Fail,232.38,465.05,UB 406x178x54,UC 254x254x73,54.3,73.1,77.52,99.54,6197.61
247,3,1,2,4.31,7.94,6.09,15.34,5.58,13.92,12.93,169.18,25.86,6.5422,Fail,650.45,1053.45,UB 610x229x101,UC 305x305x118,101.2,118.0,82.13,134.16,23781.89
248,5,3,1,3.94,5.71,5.98,29.31,14.24,16.78,19.7,123.15,39.4,3.1256,Fail,531.22,2678.12,UB 533x210x82,UC 305x305x118,82.2,118.0,93.77,176.0,42508.78
249,5,2,3,3.62,4.6,5.51,23.86,8.16,21.23,18.1,149.94,36.2,4.142,Fail,710.53,2257.4,UB 610x229x101,UC 305x305x118,101.2,118.0,89.71,208.5,69342.94
250,3,3,1,4.21,7.66,6.25,29.19,9.24,3.35,12.63,15.3,25.26,0.6056,Pass,304.41,1749.99,UB 533x210x82,UC 305x305x118,82.2,118.0,85.23,90.27,29421.46
251,2,2,1,3.5,4.32,5.8,14.28,8.96,20.74,7.0,26.64,14.0,1.9028,Fail,198.13,485.04,UB 356x171x45,UC 254x254x89,45.0,89.0,92.96,90.48,6859.2
252,1,2,2,4.01,6.41,7.49,9.7,11.9,18.11,4.01,12.4,8.02,1.5463,Fail,186.26,482.45,UB 406x178x54,UC 254x254x73,54.3,73.1,71.3,67.39,7166.8
253,5,1,2,3.31,7.63,5.21,27.72,4.75,4.75,16.55,58.02,33.1,1.753,Fail,358.81,2129.76,UB 533x210x82,UC 305x305x118,82.2,118.0,71.17,104.05,29690.43
254,1,3,2,4.37,6.78,6.82,14.92,5.11,8.04,4.37,5.56,8.74,0.6357,Pass,140.73,416.31,UB 406x178x54,UC 203x203x60,54.3,60.0,78.24,77.72,9422.39
255,3,2,2,3.8,5.44,5.05,17.82,8.46,2.47,11.4,9.36,22.8,0.4104,Pass,119.73,1223.6,UB 356x171x45,UC 254x254x73,45.0,73.1,81.95,88.96,15996.96
256,4,2,1,3.56,5.66,6.25,10.53,3.9,6.52,14.24,32.58,28.48,1.1439,Fail,176.82,715.54,UB 356x171x45,UC 254x254x89,45.0,89.0,82.97,82.56,15054.36
257,5,3,3,3.63,4.61,5.32,14.5,12.83,12.48,18.15,62.26,36.3,1.715,Fail,319.16,1956.73,UB 457x191x67,UC 305x305x118,67.1,118.0,80.04,117.0,74245.38
258,3,2,2,4.45,6.57,5.96,9.21,12.33,4.23,13.35,30.39,26.7,1.1382,Fail,173.43,1237.08,UB 406x178x54,UC 254x254x89,54.3,89.0,76.56,97.32,22940.17
259,5,2,1,4.38,6.17,6.57,6.47,2.44,21.17,21.9,333.42,43.8,7.6123,Fail,979.3,905.32,UB 610x229x101,UC 305x305x118,101.2,118.0,123.65,236.79,37966.54
260,1,1,2,3.21,6.52,4.27,8.78,4.84,11.4,3.21,5.76,6.42,0.8974,Pass,83.62,165.06,UB 356x171x45,UC 203x203x46,45.0,46.1,73.12,75.53,2536.69
261,1,3,3,4.0,6.47,5.93,17.2,2.09,13.79,4.0,6.78,8.0,0.8471,Pass,119.96,344.44,UB 406x178x54,UC 203x203x46,54.3,46.1,65.48,91.48,11030.24
262,1,1,3,4.08,6.14,5.15,17.56,11.07,10.76,4.08,12.52,8.16,1.5343,Fail,135.75,358.6,UB 406x178x54,UC 254x254x73,54.3,73.1,83.06,69.52,5397.46
